,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,418","1,514","1,327","1,281","1,486","1,437","1,264","1,113","1,236","1,027","1,008",941,"1,197"
Expenses +,"1,355","1,475","1,403","1,341","1,533","1,428","1,260","1,067","1,199","1,051","1,173","1,131","1,200"
Operating Profit,63,40,-76,-60,-47,8,4,46,37,-25,-165,-190,-3
OPM %,4%,3%,-6%,-5%,-3%,1%,0%,4%,3%,-2%,-16%,-20%,-0%
Other Income +,7,10,11,311,-106,7,8,56,34,256,-64,396,111
Interest,49,61,70,62,50,58,60,59,64,82,73,73,38
Depreciation,56,54,55,55,55,54,55,57,57,56,54,55,75
Profit before tax,-34,-64,-190,135,-258,-97,-103,-14,-49,93,-355,77,-5
Tax %,-24%,-230%,-36%,17%,-5%,-24%,-17%,-53%,2%,23%,-5%,-51%,-487%
Net Profit +,-10,82,-110,133,-229,-87,-80,1,-61,58,-339,119,18
EPS in Rs,-0.34,2.58,-3.65,4.30,-7.32,-2.82,-2.58,0.02,-1.95,1.89,-10.94,3.95,0.47
Raw PDF,,,,,,,,,,,,,
