,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,133,194,206,301,327,340,282,274,482,490,493,477,472
Expenses +,136,211,206,293,312,346,268,262,460,461,470,448,438
Operating Profit,-3,-17,-0,8,15,-5,13,13,22,29,23,29,34
OPM %,-2%,-9%,-0%,3%,5%,-2%,5%,5%,5%,6%,5%,6%,7%
Other Income +,1,29,9,8,3,34,4,3,3,15,5,5,1
Interest,1,2,1,1,2,2,1,2,2,3,7,8,8
Depreciation,1,4,2,5,3,4,4,4,4,6,6,7,6
Profit before tax,-4,6,6,10,13,24,12,9,19,36,15,20,21
Tax %,-28%,52%,20%,30%,4%,27%,21%,42%,6%,33%,20%,31%,27%
Net Profit +,-3,3,5,7,13,17,9,5,18,24,12,14,15
EPS in Rs,-0.29,0.33,0.58,0.83,1.46,2.01,1.09,0.63,2.09,2.80,1.41,1.60,1.75
Raw PDF,,,,,,,,,,,,,
