,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,192,204,240,213,113,161,162,200,165,162,193,251,224
Expenses +,131,159,180,161,87,130,115,131,111,121,132,165,146
Operating Profit,61,45,61,53,26,32,46,68,53,41,61,86,78
OPM %,32%,22%,25%,25%,23%,20%,29%,34%,32%,25%,32%,34%,35%
Other Income +,0,5,1,1,1,3,2,5,0,2,5,2,11
Interest,9,13,12,9,12,11,10,11,9,9,9,9,9
Depreciation,10,10,10,10,11,10,11,10,11,11,11,11,11
Profit before tax,43,27,39,34,4,13,27,52,34,23,46,69,69
Tax %,22%,25%,28%,29%,40%,20%,34%,37%,38%,32%,28%,34%,27%
Net Profit +,34,20,28,24,3,11,18,33,21,16,33,45,51
EPS in Rs,10.89,6.49,9.19,7.74,0.85,3.45,5.78,10.55,6.85,5.00,10.67,14.50,16.32
Raw PDF,,,,,,,,,,,,,
