,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,478","3,160","3,498"
Expenses +,550,627,707
Operating Profit,"1,929","2,533","2,792"
OPM %,78%,80%,80%
Other Income +,4,4,562
Interest,10,9,9
Depreciation,53,52,59
Profit before tax,"1,870","2,475","3,286"
Tax %,24%,22%,25%
Net Profit +,"1,423","1,943","2,460"
EPS in Rs,66.69,91.00,115.07
Dividend Payout %,72%,77%,78%
