,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,197","2,352","2,170","1,980","1,881","1,853","1,922","1,888","2,075","1,831","2,188","2,089","2,221"
Expenses +,"1,959","2,132","1,968","1,793","1,690","1,673","1,716","1,673","1,832","1,681","1,967","1,853","1,976"
Operating Profit,238,220,202,186,191,180,206,216,243,150,221,236,245
OPM %,11%,9%,9%,9%,10%,10%,11%,11%,12%,8%,10%,11%,11%
Other Income +,-7,1,52,22,26,13,13,10,8,13,12,11,30
Interest,40,40,42,43,38,37,39,39,45,40,39,40,47
Depreciation,62,62,62,63,66,65,67,66,67,68,60,62,69
Profit before tax,128,119,150,102,113,92,113,120,138,54,135,145,158
Tax %,33%,15%,15%,15%,14%,24%,26%,21%,24%,19%,53%,27%,2%
Net Profit +,86,102,127,87,97,70,84,94,104,44,63,106,155
EPS in Rs,3.18,3.77,4.79,3.22,3.71,2.52,3.06,3.51,3.79,1.50,2.28,3.95,5.77
Raw PDF,,,,,,,,,,,,,
