,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"19,090","19,144","20,588","22,808","24,305","25,673","26,858","27,852","28,682","29,145","30,447","31,895","32,523"
Interest,"11,497","11,443","12,172","13,513","14,690","16,064","16,820","17,444","18,206","18,536","19,790","20,738","21,640"
Expenses +,"9,384","9,523","10,493","11,578","10,813","10,990","10,259","9,449","9,831","8,473","8,592","7,494","9,142"
Financing Profit,"-1,791","-1,822","-2,077","-2,282","-1,197","-1,381",-221,959,646,"2,136","2,065","3,663","1,742"
Financing Margin %,-9%,-10%,-10%,-10%,-5%,-5%,-1%,3%,2%,7%,7%,11%,5%
Other Income +,"2,261","2,384","2,704","3,325","3,827","3,360","2,999","2,676","4,294","3,615","4,664","3,392","4,776"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,470,562,626,"1,043","2,630","1,979","2,778","3,634","4,940","5,751","6,729","7,055","6,518"
Tax %,48%,46%,42%,37%,34%,39%,36%,38%,37%,35%,34%,34%,29%
Net Profit +,348,271,496,715,"1,876","1,363","1,990","2,441","3,363","3,991","4,739","4,811","5,011"
EPS in Rs,0.31,0.26,0.45,0.64,1.69,1.22,1.81,2.21,3.04,3.61,4.10,4.18,4.34
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
