,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,137,157,164,171,165,182,206,242,284
Expenses +,124,147,164,155,152,167,190,222,263
Operating Profit,13,10,0,15,13,15,16,19,21
OPM %,10%,6%,0%,9%,8%,8%,8%,8%,8%
Other Income +,-4,2,32,2,3,6,5,5,6
Interest,0,1,1,1,0,1,1,1,1
Depreciation,3,3,4,3,3,2,2,3,3
Profit before tax,6,8,26,14,13,18,18,21,24
Tax %,24%,-1%,-2%,-120%,41%,18%,29%,28%,30%
Net Profit +,5,8,27,31,7,15,13,16,17
EPS in Rs,0.12,0.24,0.75,0.81,0.24,0.38,0.34,0.40,0.43
Raw PDF,,,,,,,,,
