,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,324,344,358,372,388,370,397,399,398,382,398,374,371
Expenses +,268,281,291,299,319,305,322,323,320,309,321,301,298
Operating Profit,56,63,67,73,70,65,75,75,78,73,77,73,73
OPM %,17%,18%,19%,20%,18%,18%,19%,19%,20%,19%,19%,20%,20%
Other Income +,5,-0,4,4,5,5,5,6,6,6,7,4,6
Interest,6,7,7,8,7,10,9,11,13,15,16,15,14
Depreciation,17,18,20,21,21,21,21,21,20,22,23,23,26
Profit before tax,38,38,43,49,47,40,50,49,50,42,45,39,40
Tax %,78%,25%,24%,27%,34%,28%,29%,31%,27%,29%,29%,31%,17%
Net Profit +,8,28,33,36,31,29,35,34,37,30,32,27,33
EPS in Rs,1.74,5.86,6.82,7.41,6.37,6.00,7.34,6.94,7.62,6.23,6.61,5.50,6.89
Raw PDF,,,,,,,,,,,,,
