,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,686,678,715,713,768,623,693,693,772,600,630,594,699
Expenses +,624,620,659,663,685,560,619,642,698,557,600,565,658
Operating Profit,62,59,56,50,83,63,74,51,75,43,30,29,41
OPM %,9%,9%,8%,7%,11%,10%,11%,7%,10%,7%,5%,5%,6%
Other Income +,6,8,9,11,7,6,5,11,-5,12,9,7,-16
Interest,5,14,19,22,23,22,24,24,24,24,24,23,19
Depreciation,11,22,25,25,28,28,29,31,31,31,31,31,30
Profit before tax,51,31,20,13,38,18,27,6,14,0,-16,-16,-25
Tax %,22%,59%,24%,27%,25%,84%,21%,5%,52%,111%,-24%,-23%,2%
Net Profit +,37,11,16,8,23,1,20,5,3,-4,-16,-18,-31
EPS in Rs,4.46,1.29,1.94,0.93,2.72,0.03,2.29,0.54,0.26,-0.48,-1.86,-2.12,-3.70
Raw PDF,,,,,,,,,,,,,
