,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,157,46,72,114,169,64,95,139,217,115,140,181,300
Expenses +,130,48,63,94,133,65,81,107,164,111,115,140,242
Operating Profit,27,-2,9,20,36,-0,14,32,53,3,25,41,59
OPM %,17%,-3%,13%,18%,21%,-1%,15%,23%,24%,3%,18%,23%,20%
Other Income +,2,2,2,4,5,1,1,2,2,2,4,1,3
Interest,2,2,2,3,3,2,3,3,3,2,3,4,4
Depreciation,3,2,3,3,3,3,3,3,3,3,3,4,7
Profit before tax,25,-4,7,19,35,-4,10,28,49,-0,22,35,51
Tax %,5%,4%,16%,8%,6%,-12%,14%,20%,20%,-121%,28%,-0%,30%
Net Profit +,23,-4,6,17,33,-3,9,23,39,0,16,35,36
EPS in Rs,3.93,-0.69,0.94,2.84,5.52,-0.56,1.42,3.76,6.29,0.08,2.56,5.60,5.76
Raw PDF,,,,,,,,,,,,,
