,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,325,296,302,302,363,321,350,366,424,393,422,392,493
Expenses +,280,258,264,265,318,281,303,316,369,337,362,337,410
Operating Profit,46,38,38,37,45,40,47,50,55,56,61,56,82
OPM %,14%,13%,13%,12%,12%,12%,13%,14%,13%,14%,14%,14%,17%
Other Income +,1,1,1,1,1,1,1,1,2,1,1,1,2
Interest,17,18,19,19,20,22,22,22,24,24,22,21,23
Depreciation,12,11,10,8,8,9,9,9,12,10,11,11,11
Profit before tax,17,10,10,10,17,11,17,19,21,23,29,24,51
Tax %,22%,35%,35%,35%,36%,36%,35%,37%,36%,26%,26%,26%,27%
Net Profit +,14,6,6,6,11,7,11,12,14,17,22,18,37
EPS in Rs,2.10,0.98,0.98,0.99,1.75,1.08,1.71,1.86,2.13,2.65,3.35,2.81,5.78
Raw PDF,,,,,,,,,,,,,
