,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,314,278,561,582,357,302,640,696,358,272,657,627,358
Expenses +,295,244,502,514,333,331,594,614,332,264,585,538,327
Operating Profit,19,34,58,68,23,-29,46,82,26,9,72,90,31
OPM %,6%,12%,10%,12%,7%,-9%,7%,12%,7%,3%,11%,14%,9%
Other Income +,1,2,1,0,0,0,4,0,1,5,3,2,0
Interest,2,1,1,3,5,4,3,3,3,2,2,2,1
Depreciation,7,7,7,6,6,7,7,7,7,8,7,7,8
Profit before tax,11,28,51,60,12,-39,40,72,17,4,65,82,22
Tax %,25%,20%,25%,25%,25%,-25%,26%,26%,28%,-106%,25%,25%,22%
Net Profit +,8,22,38,45,9,-29,29,53,12,8,49,61,17
EPS in Rs,2.79,7.54,12.94,15.15,3.17,-9.90,9.85,17.96,4.16,2.62,16.56,20.78,5.87
Raw PDF,,,,,,,,,,,,,
