,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,112",901,830,955,"1,205","1,119","1,021","1,061","1,343","1,102","1,174","1,206","1,612"
Expenses +,957,767,712,814,"1,036",948,881,919,"1,106",933,"1,012","1,022","1,394"
Operating Profit,155,134,119,140,169,171,140,142,238,169,162,184,218
OPM %,14%,15%,14%,15%,14%,15%,14%,13%,18%,15%,14%,15%,14%
Other Income +,24,39,31,26,35,12,24,52,75,25,42,10,-62
Interest,104,99,104,105,104,88,92,89,93,84,79,80,79
Depreciation,21,19,20,21,21,22,23,23,29,26,24,24,26
Profit before tax,54,55,25,40,80,72,49,82,190,83,101,89,52
Tax %,37%,32%,48%,23%,-0%,42%,22%,16%,26%,43%,27%,10%,33%
Net Profit +,38,37,23,24,82,43,38,69,140,55,73,82,38
EPS in Rs,0.53,0.51,0.30,0.31,1.06,0.50,0.49,0.89,1.62,0.63,0.87,0.94,0.42
Raw PDF,,,,,,,,,,,,,
