,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,138,296,407,480,512
Expenses +,112,243,338,381,453
Operating Profit,25,54,69,99,59
OPM %,18%,18%,17%,21%,12%
Other Income +,1,1,4,5,11
Interest,1,4,4,10,14
Depreciation,2,3,7,6,6
Profit before tax,23,48,63,89,50
Tax %,28%,25%,26%,30%,
Net Profit +,16,36,47,63,34
EPS in Rs,274.67,37.48,48.51,12.95,6.49
Dividend Payout %,0%,0%,0%,2%,
