,Sep 2022,Dec 2023,Sep 2024,Dec 2024
Sales +,123,16,52,58
Expenses +,88,12,31,33
Operating Profit,35,4,21,25
OPM %,28%,25%,40%,43%
Other Income +,0,0,1,1
Interest,1,1,2,3
Depreciation,2,1,3,3
Profit before tax,32,2,17,19
Tax %,26%,32%,25%,19%
Net Profit +,24,1,13,16
EPS in Rs,23.08,1.35,12.06,14.46
Raw PDF,,,,
