,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,844,866,825,701,815,747,793,690,720,728,643,523,666
Expenses +,758,838,723,629,753,838,823,703,730,615,533,531,627
Operating Profit,86,28,102,72,62,-91,-30,-13,-10,113,110,-8,39
OPM %,10%,3%,12%,10%,8%,-12%,-4%,-2%,-1%,16%,17%,-2%,6%
Other Income +,71,31,66,25,5,78,"1,045",63,72,194,168,19,57
Interest,2,2,4,3,4,6,4,4,3,3,4,2,2
Depreciation,14,14,15,13,15,18,19,21,22,20,22,23,25
Profit before tax,141,43,149,81,48,-37,992,25,37,284,252,-14,69
Tax %,33%,44%,38%,35%,40%,-19%,19%,32%,57%,17%,23%,50%,29%
Net Profit +,95,24,92,53,29,-30,802,17,16,236,194,-21,49
EPS in Rs,4.86,1.23,4.71,2.71,1.48,-1.54,41.15,0.92,0.82,12.13,9.98,-1.02,2.56
Raw PDF,,,,,,,,,,,,,
