,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,581,598,662,679,660,619,675,729,731,868,883,880,933
Expenses +,551,560,620,635,611,569,621,672,670,795,813,806,856
Operating Profit,30,38,42,44,49,50,54,57,61,73,70,73,77
OPM %,5%,6%,6%,6%,7%,8%,8%,8%,8%,8%,8%,8%,8%
Other Income +,1,1,2,1,1,1,2,1,3,3,3,6,3
Interest,5,7,9,10,10,11,13,15,18,20,21,20,20
Depreciation,7,9,10,10,9,11,12,14,18,20,20,20,20
Profit before tax,20,23,25,25,31,29,31,29,28,36,32,39,41
Tax %,38%,35%,25%,33%,35%,21%,21%,24%,17%,25%,28%,27%,24%
Net Profit +,12,15,19,17,20,23,25,22,23,27,23,29,31
EPS in Rs,1.09,1.32,1.68,1.51,1.79,2.07,2.19,1.95,2.00,2.38,2.00,2.44,2.62
Raw PDF,,,,,,,,,,,,,
