,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,594,514,514,591,583,479,494,467,580,489,638,608,674
Expenses +,546,470,468,548,531,443,471,426,519,457,591,569,612
Operating Profit,48,44,46,43,52,37,23,41,61,32,47,39,62
OPM %,8%,9%,9%,7%,9%,8%,5%,9%,11%,6%,7%,6%,9%
Other Income +,23,18,15,17,35,22,18,23,34,9,9,16,35
Interest,25,22,24,24,27,21,22,24,24,26,26,27,25
Depreciation,6,6,6,6,6,6,6,6,6,7,7,7,7
Profit before tax,41,35,32,31,54,32,14,33,65,8,23,21,65
Tax %,24%,23%,18%,21%,24%,25%,17%,28%,25%,33%,21%,25%,23%
Net Profit +,31,27,26,24,41,24,12,24,49,6,18,16,50
EPS in Rs,8.97,7.72,7.47,7.04,11.83,6.93,3.36,6.91,14.00,1.61,5.27,4.56,14.32
Raw PDF,,,,,,,,,,,,,
