,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,540,505,573,610,869,666,812,871,"1,090","1,010","1,167","1,292","1,508"
Expenses +,795,740,800,744,937,743,901,898,"1,085","1,050","1,175","1,264","1,395"
Operating Profit,-255,-235,-226,-133,-68,-77,-89,-27,5,-39,-8,28,113
OPM %,-47%,-46%,-39%,-22%,-8%,-12%,-11%,-3%,0%,-4%,-1%,2%,7%
Other Income +,51,47,61,69,82,91,97,94,98,141,106,100,101
Interest,4,4,6,6,6,6,7,6,7,6,9,9,9
Depreciation,12,13,16,18,17,20,22,23,24,25,29,34,33
Profit before tax,-220,-204,-187,-88,-9,-12,-21,37,73,71,60,85,171
Tax %,-0%,-0%,0%,0%,-0%,3%,-1%,0%,17%,15%,15%,16%,0%
Net Profit +,-220,-204,-187,-88,-9,-12,-21,37,60,60,51,72,171
EPS in Rs,-4.89,-4.55,-4.15,-1.94,-0.20,-0.25,-0.45,0.84,1.34,1.32,1.11,1.56,3.72
Raw PDF,,,,,,,,,,,,,
