,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,303,347,347,360,331,328,297,294,259,290,261,241,208
Expenses +,236,277,272,280,252,265,237,240,218,242,219,205,176
Operating Profit,67,70,75,80,79,63,59,54,41,47,42,37,32
OPM %,22%,20%,22%,22%,24%,19%,20%,18%,16%,16%,16%,15%,15%
Other Income +,2,0,1,2,7,7,1,1,3,4,4,5,5
Interest,1,1,1,2,2,1,1,1,1,2,2,2,2
Depreciation,9,9,10,10,10,9,10,10,11,10,11,12,11
Profit before tax,58,59,65,70,74,59,49,43,32,39,33,28,25
Tax %,25%,24%,23%,24%,24%,24%,24%,23%,19%,26%,25%,23%,23%
Net Profit +,44,45,51,53,56,45,37,33,26,29,25,21,19
EPS in Rs,9.73,10.04,11.19,11.69,12.48,10.04,8.22,7.31,5.75,6.34,5.51,4.69,4.24
Raw PDF,,,,,,,,,,,,,
