,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"9,022","7,975","8,005","10,203","9,319","8,929","10,312","10,838","12,165","11,555","11,932","13,247","13,169"
Expenses +,"7,650","6,614","6,719","8,453","7,561","7,272","8,380","8,708","9,750","9,271","9,562","11,174","10,418"
Operating Profit,"1,371","1,361","1,286","1,750","1,757","1,657","1,932","2,130","2,415","2,284","2,370","2,073","2,751"
OPM %,15%,17%,16%,17%,19%,19%,19%,20%,20%,20%,20%,16%,21%
Other Income +,489,666,320,532,271,595,351,552,356,444,335,399,348
Interest,2,3,4,11,8,16,12,7,12,30,47,75,120
Depreciation,70,70,68,67,75,76,87,92,93,93,95,98,102
Profit before tax,"1,788","1,954","1,534","2,203","1,945","2,160","2,184","2,584","2,666","2,606","2,564","2,299","2,876"
Tax %,20%,22%,24%,22%,24%,21%,25%,22%,24%,23%,24%,40%,24%
Net Profit +,"1,430","1,526","1,163","1,719","1,473","1,705","1,644","2,020","2,033","2,011","1,942","1,385","2,196"
EPS in Rs,49.41,52.74,40.20,59.42,52.05,60.25,58.11,71.39,71.78,72.05,69.55,49.61,78.62
Raw PDF,,,,,,,,,,,,,
