,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,379,422,432,607,766,974,911,935,955,"1,052",903,"1,057",902
Expenses +,336,376,392,554,701,882,805,821,844,935,806,932,809
Operating Profit,43,46,40,53,65,92,106,115,111,118,97,125,94
OPM %,11%,11%,9%,9%,9%,9%,12%,12%,12%,11%,11%,12%,10%
Other Income +,-12,-44,-13,29,11,7,4,7,14,12,12,10,23
Interest,17,16,16,20,23,22,19,20,18,16,13,17,21
Depreciation,5,6,5,5,5,6,7,7,7,7,7,8,6
Profit before tax,9,-19,6,57,48,70,84,95,100,108,90,111,89
Tax %,83%,33%,101%,21%,32%,31%,27%,25%,25%,27%,26%,27%,29%
Net Profit +,1,-25,-0,45,33,48,62,71,75,79,67,81,63
EPS in Rs,0.12,-2.09,0.10,4.03,2.72,4.03,5.17,5.55,5.56,5.86,4.98,5.99,4.66
Raw PDF,,,,,,,,,,,,,
