,Sep 2024,Dec 2024,Mar 2025
Sales +,195,209,233
Expenses +,151,155,172
Operating Profit,44,54,61
OPM %,23%,26%,26%
Other Income +,3,4,10
Interest,8,11,12
Depreciation,6,6,6
Profit before tax,34,41,52
Tax %,25%,26%,24%
Net Profit +,26,30,40
EPS in Rs,4.32,5.11,6.72
Raw PDF,,,
