,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,355,339,230,134,226,167,181,189,285,223,152,259,335
Expenses +,311,320,232,152,238,263,209,212,226,226,148,229,299
Operating Profit,44,19,-2,-18,-13,-96,-28,-23,59,-3,3,30,36
OPM %,12%,6%,-1%,-13%,-6%,-58%,-15%,-12%,21%,-1%,2%,12%,11%
Other Income +,2,6,12,1,1,4,95,-58,-10,11,-109,4,11
Interest,20,45,46,77,70,73,78,90,42,49,54,58,66
Depreciation,17,24,23,23,23,24,27,31,25,48,36,37,98
Profit before tax,9,-44,-59,-118,-105,-189,-39,-201,-19,-89,-196,-60,-117
Tax %,29%,-25%,-25%,22%,0%,0%,0%,0%,0%,0%,0%,61%,0%
Net Profit +,6,-33,-44,-144,-105,-189,-39,-202,-19,-89,-196,-97,-117
EPS in Rs,0.25,-1.31,-1.77,-5.57,-4.05,-7.33,-1.50,-7.80,-0.74,-3.44,-7.57,-3.75,-4.53
Raw PDF,,,,,,,,,,,,,
