,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,841,665,943,830,900,779,958,819,903,798,945,837,919
Expenses +,673,503,698,669,694,597,719,637,721,616,760,663,719
Operating Profit,169,162,245,161,206,182,240,182,182,182,185,175,200
OPM %,20%,24%,26%,19%,23%,23%,25%,22%,20%,23%,20%,21%,22%
Other Income +,14,19,9,12,8,10,13,-25,11,22,150,17,-1
Interest,23,25,25,27,29,27,28,28,29,31,31,32,31
Depreciation,62,72,69,74,75,76,81,82,86,90,87,90,90
Profit before tax,97,85,160,72,110,88,144,46,78,83,217,70,77
Tax %,26%,26%,25%,24%,24%,26%,26%,26%,26%,23%,20%,26%,24%
Net Profit +,72,63,119,55,83,66,107,34,58,64,174,52,59
EPS in Rs,5.63,4.90,9.29,4.27,6.47,5.11,8.32,2.64,4.51,4.95,13.54,4.04,4.57
Raw PDF,,,,,,,,,,,,,
