,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,68,66,70,83,84,73,78,90,95,100,92
Expenses +,56,57,51,67,66,59,63,72,75,78,73
Operating Profit,12,9,19,16,18,14,14,18,20,22,19
OPM %,18%,14%,27%,19%,21%,19%,19%,20%,21%,22%,21%
Other Income +,0,0,0,1,0,1,1,1,1,1,0
Interest,1,1,1,1,1,0,0,0,0,0,0
Depreciation,1,1,2,1,2,2,2,2,2,3,4
Profit before tax,10,7,16,15,15,13,14,17,19,20,15
Tax %,24%,25%,23%,24%,24%,32%,28%,26%,27%,23%,25%
Net Profit +,8,5,13,11,12,9,10,12,14,15,11
EPS in Rs,3.29,2.25,1.10,0.97,0.90,0.70,0.78,0.96,1.06,1.18,0.87
Raw PDF,,,,,,,,,,,
