,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,263,252,301,347,368,346,374,415,429,406,439,496,492
Expenses +,230,227,270,303,317,298,316,350,368,348,375,426,431
Operating Profit,33,25,31,44,51,48,58,65,61,59,64,70,61
OPM %,13%,10%,10%,13%,14%,14%,15%,16%,14%,14%,15%,14%,12%
Other Income +,2,1,2,3,3,4,5,3,5,7,5,6,7
Interest,2,2,3,4,4,2,2,3,3,4,4,4,3
Depreciation,12,12,13,14,14,13,14,15,16,16,17,19,19
Profit before tax,21,13,17,30,37,37,47,50,46,45,48,52,46
Tax %,26%,19%,26%,26%,25%,25%,25%,25%,25%,26%,25%,26%,26%
Net Profit +,16,10,13,22,28,28,35,37,35,34,35,39,35
EPS in Rs,2.64,1.73,2.16,3.73,4.72,4.70,5.93,6.34,5.88,5.72,6.02,6.34,5.63
Raw PDF,,,,,,,,,,,,,
