,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,728","2,662","2,816","3,192",807,841,929,955,974,"1,002","1,086","1,050","1,000"
Expenses +,"2,267","2,370","2,498","2,743",687,722,787,805,817,841,869,864,818
Operating Profit,460,292,319,449,120,119,142,149,156,161,217,186,182
OPM %,17%,11%,11%,14%,15%,14%,15%,16%,16%,16%,20%,18%,18%
Other Income +,22,37,18,10,149,-17,-64,153,-40,"5,120",35,9,5
Interest,62,69,77,87,25,25,30,25,30,29,31,31,32
Depreciation,170,175,189,198,54,51,54,57,58,60,62,62,64
Profit before tax,250,85,71,173,190,26,-7,220,28,"5,191",159,102,91
Tax %,2%,6%,23%,8%,4%,24%,120%,5%,108%,1%,33%,37%,6%
Net Profit +,246,80,54,159,183,20,-15,209,-2,"5,152",106,64,86
EPS in Rs,4.53,1.37,0.93,2.79,3.42,0.10,-0.62,3.59,-0.48,103.00,1.94,1.14,1.58
Raw PDF,,,,,,,,,,,,,
