,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,161,60,50,53,93,67,73,84,117,74,266,210,163
Expenses +,140,49,41,44,72,41,39,64,86,65,200,151,130
Operating Profit,21,11,9,9,20,26,34,20,31,9,66,59,34
OPM %,13%,18%,18%,17%,22%,39%,47%,24%,27%,12%,25%,28%,21%
Other Income +,2,2,1,3,2,2,3,2,3,3,4,5,11
Interest,1,2,2,4,6,15,19,3,4,3,5,5,8
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,22,10,8,7,15,13,16,18,28,7,64,58,36
Tax %,35%,28%,37%,24%,29%,30%,32%,36%,31%,38%,33%,14%,39%
Net Profit +,14,7,5,5,10,9,11,12,20,5,43,50,22
EPS in Rs,3.29,1.71,1.10,0.94,2.05,1.77,1.91,2.07,3.42,0.64,8.93,10.48,4.20
Raw PDF,,,,,,,,,,,,,
