,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,006",968,995
Expenses +,878,844,885
Operating Profit,128,124,110
OPM %,13%,13%,11%
Other Income +,25,60,38
Interest,2,3,2
Depreciation,27,27,25
Profit before tax,124,155,120
Tax %,25%,22%,23%
Net Profit +,92,121,93
EPS in Rs,106.90,140.14,107.56
Dividend Payout %,23%,14%,19%
