,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,450,463,471,518,504,534,515,604,563,624,605,681,602
Expenses +,396,414,420,464,449,460,451,528,492,541,541,599,538
Operating Profit,53,50,50,54,55,74,64,76,71,84,64,81,64
OPM %,12%,11%,11%,10%,11%,14%,12%,13%,13%,13%,11%,12%,11%
Other Income +,2,1,2,5,6,4,4,6,3,9,3,8,1
Interest,4,3,5,6,6,6,7,9,14,13,14,16,16
Depreciation,15,15,15,15,16,17,17,19,24,26,26,27,27
Profit before tax,36,33,33,38,38,55,44,53,35,53,27,47,21
Tax %,25%,22%,25%,23%,26%,16%,24%,26%,29%,23%,26%,27%,41%
Net Profit +,27,26,25,29,29,46,33,39,25,41,20,34,13
EPS in Rs,1.12,1.06,1.02,1.15,1.13,1.82,1.30,1.54,0.99,1.61,0.79,1.36,0.50
Raw PDF,,,,,,,,,,,,,
