,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,053","1,148","1,381","1,102","1,120","1,019",805,798,823,830,793,779,781
Expenses +,723,789,947,735,771,719,592,648,639,614,582,549,563
Operating Profit,330,359,434,367,349,299,213,150,184,217,211,230,218
OPM %,31%,31%,31%,33%,31%,29%,26%,19%,22%,26%,27%,30%,28%
Other Income +,54,128,1,4,-3,230,11,14,17,18,17,29,23
Interest,15,10,11,10,10,8,7,6,5,4,4,4,4
Depreciation,22,22,32,22,27,24,26,26,26,27,28,28,28
Profit before tax,348,455,392,339,309,497,191,133,170,203,196,227,209
Tax %,22%,19%,25%,26%,27%,14%,25%,25%,26%,26%,21%,26%,28%
Net Profit +,272,369,293,252,227,426,143,100,125,151,155,168,150
EPS in Rs,28.52,38.56,30.60,26.38,23.70,44.60,14.94,10.43,13.04,15.73,16.17,17.59,15.69
Raw PDF,,,,,,,,,,,,,
