,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,171","2,259","2,446","3,023","2,624","3,002","4,267","3,706","2,826","2,973"
Expenses +,"2,109","2,197","2,354","2,953","2,560","2,934","4,184","3,607","2,805","2,879"
Operating Profit,63,62,92,69,64,68,83,99,21,94
OPM %,3%,3%,4%,2%,2%,2%,2%,3%,1%,3%
Other Income +,4,3,4,1,4,16,7,5,48,5
Interest,23,23,25,29,30,23,14,17,23,24
Depreciation,5,5,4,5,5,5,4,4,4,5
Profit before tax,38,37,67,36,34,56,73,83,43,71
Tax %,16%,35%,25%,39%,26%,15%,24%,16%,25%,25%
Net Profit +,32,24,50,22,25,47,55,70,32,53
EPS in Rs,,,,,,6.04,8.38,10.58,4.83,7.78
Raw PDF,,,,,,,,,,
