,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,239,162,175,220,258,134,190,231,354,155,230,259,408
Expenses +,215,140,136,169,226,131,148,165,273,131,180,182,289
Operating Profit,25,22,39,51,33,3,42,66,81,24,49,76,118
OPM %,10%,14%,22%,23%,13%,2%,22%,29%,23%,15%,21%,29%,29%
Other Income +,2,1,2,2,1,2,9,6,6,4,3,10,11
Interest,5,6,7,8,10,7,6,8,9,10,13,15,19
Depreciation,6,6,6,6,6,6,6,7,6,8,6,10,11
Profit before tax,16,12,28,38,18,-8,38,57,71,9,34,62,99
Tax %,30%,31%,27%,28%,25%,-18%,22%,25%,24%,23%,25%,23%,26%
Net Profit +,11,8,21,28,14,-7,30,43,54,7,25,47,73
EPS in Rs,1.26,0.94,2.37,3.20,1.56,-0.71,3.16,4.57,5.73,0.76,2.67,5.00,7.74
Raw PDF,,,,,,,,,,,,,
