,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,128.39,137.06,141.47,153.51,168.11,182.55,185.27
Expenses +,123.53,131.59,134.23,147.00,160.85,174.54,175.88
Operating Profit,4.86,5.47,7.24,6.51,7.26,8.01,9.39
OPM %,3.79%,3.99%,5.12%,4.24%,4.32%,4.39%,5.07%
Other Income +,0.60,0.41,0.14,0.14,0.23,0.22,0.21
Interest,2.67,2.70,2.70,2.80,3.06,3.23,3.34
Depreciation,0.76,0.89,1.16,0.94,1.09,1.32,1.14
Profit before tax,2.03,2.29,3.52,2.91,3.34,3.68,5.12
Tax %,-113.30%,-17.47%,21.59%,-14.43%,-17.96%,-23.10%,-18.16%
Net Profit +,4.33,2.69,2.76,3.32,3.93,4.53,6.05
EPS in Rs,2.13,1.33,1.36,1.64,1.94,2.23,2.98
Raw PDF,,,,,,,
