,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,234,169,46,127,344,272,618,521,812,422,533,464,585
Expenses +,181,164,54,119,247,209,632,512,762,381,455,427,537
Operating Profit,53,4,-8,7,97,63,-14,9,50,41,78,38,48
OPM %,23%,2%,-18%,6%,28%,23%,-2%,2%,6%,10%,15%,8%,8%
Other Income +,14,7,10,9,22,11,25,34,15,15,23,22,57
Interest,6,3,5,6,22,7,7,7,20,17,10,12,13
Depreciation,1,1,1,1,2,1,2,2,3,2,3,3,6
Profit before tax,60,7,-4,9,95,67,2,34,42,37,88,45,87
Tax %,33%,43%,6%,39%,22%,30%,-108%,11%,28%,31%,26%,33%,23%
Net Profit +,40,4,-5,6,74,47,4,30,30,26,66,30,67
EPS in Rs,4.20,0.48,-0.48,0.47,6.73,4.12,0.38,2.65,2.69,2.05,5.26,1.20,5.14
Raw PDF,,,,,,,,,,,,,
