,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,6.68,2.14,4.49,13.68,7.86,5.18,5.84,14.61,9.05,12.93,7.72,18.58,9.26
Expenses +,0.63,2.12,0.54,0.84,0.83,3.43,0.84,1.03,0.64,3.78,0.60,1.19,0.46
Operating Profit,6.05,0.02,3.95,12.84,7.03,1.75,5.00,13.58,8.41,9.15,7.12,17.39,8.80
OPM %,90.57%,0.93%,87.97%,93.86%,89.44%,33.78%,85.62%,92.95%,92.93%,70.77%,92.23%,93.60%,95.03%
Other Income +,44.79,115.02,42.78,55.62,70.53,149.89,70.24,78.97,68.92,325.08,235.64,38.04,1.23
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.17,0.18,0.15,0.15,0.15,0.14,0.12,0.13,0.13,0.13,0.11,0.11,0.11
Profit before tax,50.67,114.86,46.58,68.31,77.41,151.50,75.12,92.42,77.20,334.10,242.65,55.32,9.92
Tax %,24.77%,25.17%,25.25%,24.89%,23.68%,24.69%,25.04%,25.05%,24.97%,25.10%,24.74%,34.91%,29.54%
Net Profit +,38.12,85.95,34.83,51.32,59.07,114.09,56.30,69.28,57.92,250.24,182.61,36.02,6.99
EPS in Rs,10.12,22.82,9.25,13.62,15.68,30.29,14.95,18.39,15.38,66.43,48.48,9.56,1.86
Raw PDF,,,,,,,,,,,,,
