,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,722","1,872","2,058","1,962","1,991","1,961","1,768","1,778","2,009","2,126","2,167","2,032","1,903"
Expenses +,"1,370","1,462","1,702","1,691","1,676","1,613","1,559","1,476","1,705","1,825","1,858","1,734","1,735"
Operating Profit,352,410,356,271,315,348,210,302,305,301,309,298,169
OPM %,20%,22%,17%,14%,16%,18%,12%,17%,15%,14%,14%,15%,9%
Other Income +,26,4,10,12,13,13,32,17,14,99,19,21,21
Interest,7,7,9,6,6,4,2,3,3,4,6,6,6
Depreciation,45,45,42,42,41,41,38,39,42,46,47,48,48
Profit before tax,325,362,315,235,281,315,202,277,274,349,275,264,135
Tax %,25%,26%,26%,26%,26%,26%,26%,26%,26%,27%,26%,26%,27%
Net Profit +,242,267,235,174,209,234,150,205,202,254,203,194,98
EPS in Rs,17.78,19.59,17.20,12.79,15.33,17.15,10.99,15.04,14.81,18.61,14.85,14.24,7.19
Raw PDF,,,,,,,,,,,,,
