,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,823,843,638,850,901,847,796,806,914,932,682,733,936
Expenses +,640,624,514,652,704,691,685,635,708,743,588,643,724
Operating Profit,183,219,124,198,197,157,111,172,206,189,94,90,212
OPM %,22%,26%,19%,23%,22%,18%,14%,21%,23%,20%,14%,12%,23%
Other Income +,210,79,79,82,88,89,88,82,"10,717",85,89,91,92
Interest,597,586,618,656,651,678,726,719,239,121,124,116,118
Depreciation,103,102,103,103,97,102,105,106,69,59,60,61,60
Profit before tax,-306,-389,-518,-480,-463,-535,-632,-572,"10,615",93,-1,4,126
Tax %,0%,0%,0%,0%,4%,3%,0%,3%,-0%,0%,0%,0%,0%
Net Profit +,-306,-389,-518,-480,-483,-549,-633,-587,"10,666",93,-1,4,126
EPS in Rs,-0.58,-0.72,-0.96,-0.89,-0.90,-1.02,-1.18,-1.09,19.86,0.17,-0.00,0.01,0.23
Raw PDF,,,,,,,,,,,,,
