,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,211","1,190","1,233","1,169",982,894,863,"1,070",814,"1,149","1,128",204,395
Expenses +,"1,085","1,051","1,054","1,082",835,759,814,879,615,"1,051","1,040",222,425
Operating Profit,125,139,179,87,147,136,49,191,199,99,88,-18,-31
OPM %,10%,12%,14%,7%,15%,15%,6%,18%,24%,9%,8%,-9%,-8%
Other Income +,8,4,10,4,118,-54,-12,3,-114,8,1,-8,-119
Interest,15,11,15,13,8,6,10,8,10,12,17,8,12
Depreciation,57,56,57,57,49,50,51,53,15,55,55,16,16
Profit before tax,62,76,116,21,207,26,-24,133,60,40,17,-50,-177
Tax %,-37%,40%,40%,68%,31%,128%,36%,40%,66%,56%,83%,-15%,-24%
Net Profit +,84,45,70,7,142,-7,-33,80,21,17,3,-42,-135
EPS in Rs,7.71,4.15,6.41,0.78,13.01,-0.53,-2.73,7.46,0.34,0.70,0.23,-3.63,-11.73
Raw PDF,,,,,,,,,,,,,
