,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,075","1,311","1,611","1,966","2,329","2,622"
Expenses +,979,"1,166","1,471","1,752","1,937","2,294"
Operating Profit,96,145,140,214,392,328
OPM %,9%,11%,9%,11%,17%,13%
Other Income +,8,11,10,23,27,33
Interest,6,3,7,11,11,15
Depreciation,34,33,38,49,60,82
Profit before tax,64,120,105,177,348,264
Tax %,11%,25%,28%,23%,24%,27%
Net Profit +,56,90,76,136,263,194
EPS in Rs,23.18,37.10,3.12,5.50,10.61,8.01
Dividend Payout %,9%,5%,3%,14%,9%,12%
