,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,181","1,250","1,396","1,618","1,751","1,686","1,778","1,821","1,861","1,676","1,849","1,926","1,909"
Expenses +,969,"1,057","1,192","1,335","1,429","1,371","1,453","1,495","1,526","1,411","1,552","1,648","1,611"
Operating Profit,212,193,205,283,322,316,326,326,335,265,297,278,298
OPM %,18%,15%,15%,18%,18%,19%,18%,18%,18%,16%,16%,14%,16%
Other Income +,49,34,-2,19,-16,-1,7,-32,23,21,51,-17,41
Interest,10,16,31,26,26,28,27,29,32,26,28,20,19
Depreciation,43,51,63,70,73,68,66,66,67,66,66,68,68
Profit before tax,208,160,108,206,208,219,240,200,259,195,254,174,252
Tax %,26%,27%,27%,24%,21%,23%,24%,23%,24%,24%,27%,26%,26%
Net Profit +,154,116,79,156,163,169,184,153,197,148,187,128,186
EPS in Rs,13.98,10.52,7.16,14.12,14.76,15.20,16.10,13.28,17.06,12.97,16.14,11.02,15.35
Raw PDF,,,,,,,,,,,,,
