,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,144,144,241,269,318,376
Expenses +,122,122,194,216,256,297
Operating Profit,22,23,47,53,62,79
OPM %,15%,16%,20%,20%,20%,21%
Other Income +,-3,-2,1,-3,4,3
Interest,12,9,7,4,3,0
Depreciation,4,4,4,5,6,11
Profit before tax,4,8,37,41,57,70
Tax %,-32%,25%,25%,27%,27%,25%
Net Profit +,5,6,28,30,42,53
EPS in Rs,2.05,2.63,12.03,2.64,3.23,4.06
Dividend Payout %,0%,0%,0%,8%,8%,7%
