,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,575,648,551,514,608,592,586,585,577,638,639,630,608
Expenses +,511,587,513,464,556,528,511,511,485,574,569,546,514
Operating Profit,64,61,39,50,52,65,75,74,91,64,70,84,95
OPM %,11%,9%,7%,10%,9%,11%,13%,13%,16%,10%,11%,13%,16%
Other Income +,15,8,8,3,17,10,13,11,18,12,11,9,18
Interest,3,5,4,5,5,6,5,5,6,6,5,9,6
Depreciation,14,14,14,14,14,15,14,14,15,14,14,15,16
Profit before tax,62,51,29,34,51,54,69,64,88,56,62,68,90
Tax %,43%,22%,37%,29%,51%,22%,31%,24%,31%,20%,30%,29%,35%
Net Profit +,46,55,34,35,43,56,63,66,73,63,61,62,74
EPS in Rs,2.76,3.28,2.05,2.11,2.61,3.35,3.73,3.90,4.31,3.73,3.66,3.77,4.39
Raw PDF,,,,,,,,,,,,,
