,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,614","2,074","2,014","1,892","1,786","2,460","2,507","3,326","3,360","3,967","4,248","3,759","3,287"
Expenses +,"1,532","1,998","1,975","1,811","1,774","2,299","2,267","3,114","3,114","3,654","4,047","3,588","3,237"
Operating Profit,82,76,39,82,13,161,240,212,246,312,201,170,50
OPM %,5%,4%,2%,4%,1%,7%,10%,6%,7%,8%,5%,5%,2%
Other Income +,-1,-5,-11,12,3,427,6,27,25,36,18,19,35
Interest,24,23,21,16,12,9,6,3,3,5,3,4,4
Depreciation,46,46,47,43,44,44,43,49,48,47,45,48,41
Profit before tax,11,3,-39,34,-41,535,197,187,219,297,171,138,41
Tax %,27%,25%,-17%,-30%,-23%,23%,41%,25%,26%,26%,25%,25%,33%
Net Profit +,8,2,-32,45,-31,413,115,140,161,221,128,104,27
EPS in Rs,1.89,0.54,-7.48,10.33,-7.20,95.37,26.60,32.36,37.29,50.96,29.55,23.92,6.24
Raw PDF,,,,,,,,,,,,,
