,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"2,865","2,902","3,011","3,324","3,463","3,583","3,833","4,100","4,280","4,316","4,465","4,797","4,886"
Interest,"1,053","1,052","1,192","1,373","1,477","1,597","1,703","1,798","1,861","1,960","2,062","2,175","2,218"
Expenses +,932,"1,512","1,071","1,041","1,072","1,504","1,724","1,456","1,520","1,676","1,830","1,325","2,001"
Financing Profit,880,338,748,910,913,482,406,846,900,679,573,"1,297",667
Financing Margin %,31%,12%,25%,27%,26%,13%,11%,21%,21%,16%,13%,27%,14%
Other Income +,38,24,-26,36,86,67,44,50,68,58,28,19,27
Depreciation,50,43,55,63,65,66,67,69,72,76,79,82,85
Profit before tax,868,318,668,884,934,483,383,826,896,661,523,"1,233",609
Tax %,28%,25%,26%,25%,28%,25%,25%,25%,25%,25%,25%,26%,25%
Net Profit +,629,240,492,664,675,362,287,623,671,497,390,918,456
EPS in Rs,4.49,1.72,3.53,4.76,4.90,2.58,2.02,4.48,4.82,3.58,2.80,6.60,3.29
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
