,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,770,773,814,983,836,826,865,996,891,906,891,"1,049",963
Expenses +,612,604,621,689,636,636,632,682,682,692,645,715,744
Operating Profit,158,169,193,294,199,190,233,314,209,214,246,334,219
OPM %,21%,22%,24%,30%,24%,23%,27%,32%,24%,24%,28%,32%,23%
Other Income +,25,6,42,7,14,8,11,11,11,10,22,15,21
Interest,2,2,2,2,1,2,2,3,3,2,2,2,3
Depreciation,83,88,48,47,64,46,46,46,48,44,45,46,44
Profit before tax,98,85,186,251,148,150,196,276,169,178,220,301,194
Tax %,-262%,14%,3%,7%,4%,9%,8%,6%,13%,16%,4%,7%,16%
Net Profit +,354,73,180,233,142,137,180,261,147,151,211,279,162
EPS in Rs,8.07,1.67,4.17,5.38,3.27,3.14,4.09,5.92,3.41,3.50,4.87,6.39,3.72
Raw PDF,,,,,,,,,,,,,
