,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,109.52,85.29,125.40,85.33,100.68,125.84,211.57,84.43,213.31,236.38,214.99,87.87,149.34
Expenses +,52.62,68.82,82.78,48.18,80.89,98.98,163.56,68.21,122.68,149.08,142.21,72.39,105.07
Operating Profit,56.90,16.47,42.62,37.15,19.79,26.86,48.01,16.22,90.63,87.30,72.78,15.48,44.27
OPM %,51.95%,19.31%,33.99%,43.54%,19.66%,21.34%,22.69%,19.21%,42.49%,36.93%,33.85%,17.62%,29.64%
Other Income +,7.48,12.64,4.60,15.12,1.54,-1.28,12.80,7.15,5.79,3.12,16.60,22.44,-9.93
Interest,1.37,2.56,1.70,1.70,2.20,1.20,2.48,4.20,4.49,5.08,3.92,4.03,3.42
Depreciation,22.41,24.00,24.61,31.47,24.47,31.44,32.22,33.42,33.88,35.27,32.05,31.61,33.51
Profit before tax,40.60,2.55,20.91,19.10,-5.34,-7.06,26.11,-14.25,58.05,50.07,53.41,2.28,-2.59
Tax %,0.84%,-91.76%,-8.99%,10.47%,-69.10%,-34.28%,0.80%,1.47%,2.81%,-5.33%,6.46%,92.98%,24.71%
Net Profit +,40.26,4.89,22.79,17.10,-1.65,-4.64,25.90,-14.46,56.42,52.74,49.96,0.16,-3.23
EPS in Rs,15.78,1.87,8.91,6.67,-0.70,-1.90,10.07,-5.81,22.09,20.72,19.61,0.04,-1.31
Raw PDF,,,,,,,,,,,,,
