,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,335,445,327,292,309,306,239,263,233,310,282,328,256
Expenses +,265,359,276,256,260,249,234,250,207,240,244,281,215
Operating Profit,70,86,51,36,49,56,6,13,26,69,38,47,42
OPM %,21%,19%,16%,12%,16%,18%,2%,5%,11%,22%,14%,14%,16%
Other Income +,-0,7,8,3,6,-3,9,4,4,22,22,7,18
Interest,2,3,2,1,2,1,0,1,1,1,1,1,1
Depreciation,7,7,6,7,7,6,6,6,7,6,6,6,7
Profit before tax,61,83,51,31,46,46,8,10,22,84,53,46,52
Tax %,25%,23%,26%,26%,27%,34%,8%,39%,29%,20%,19%,30%,21%
Net Profit +,46,65,38,23,34,30,7,6,15,67,43,32,41
EPS in Rs,110.41,155.34,90.63,55.18,81.27,72.80,17.06,14.44,36.84,161.50,103.77,77.35,97.54
Raw PDF,,,,,,,,,,,,,
