,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,246,318,436,502,408,429
Expenses +,229,271,367,425,365,384
Operating Profit,17,47,68,77,43,45
OPM %,7%,15%,16%,15%,11%,10%
Other Income +,4,2,1,1,3,9
Interest,5,8,9,5,8,8
Depreciation,7,8,9,10,11,13
Profit before tax,9,32,51,64,27,34
Tax %,27%,27%,30%,29%,32%,
Net Profit +,7,23,36,45,18,22
EPS in Rs,0.63,2.27,3.48,4.34,1.75,1.88
Dividend Payout %,0%,0%,7%,9%,6%,
