,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,037","1,496","1,786","1,606","1,574","1,508","1,578","1,554","1,729","1,559","1,688","1,614","1,748"
Expenses +,932,"1,324","1,562","1,364","1,352","1,300","1,315","1,325","1,488","1,380","1,476","1,441","1,542"
Operating Profit,105,172,224,242,222,209,263,228,240,179,212,172,206
OPM %,10%,12%,13%,15%,14%,14%,17%,15%,14%,11%,13%,11%,12%
Other Income +,16,17,25,10,17,10,-25,14,-19,12,19,12,39
Interest,14,21,25,25,26,30,30,30,32,34,37,39,36
Depreciation,28,41,42,44,49,47,58,64,73,61,64,66,67
Profit before tax,79,127,182,183,164,142,150,148,116,96,130,79,142
Tax %,156%,19%,28%,28%,43%,34%,39%,29%,39%,31%,29%,33%,32%
Net Profit +,-44,103,131,133,93,94,91,105,71,66,92,53,97
EPS in Rs,0.12,49.42,70.41,64.18,44.39,41.13,46.00,51.06,61.67,28.72,47.75,23.09,44.94
Raw PDF,,,,,,,,,,,,,
