,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,855,"1,102",980,962,875,"1,245",981,"1,038",996,"1,414",985,"1,945",848
Expenses +,715,823,769,698,678,999,765,807,770,"1,039",706,"1,075",593
Operating Profit,140,279,211,263,197,246,216,232,226,375,279,870,256
OPM %,16%,25%,22%,27%,22%,20%,22%,22%,23%,26%,28%,45%,30%
Other Income +,30,20,10,10,68,10,8,5,7,125,21,132,122
Interest,39,43,55,45,33,21,20,21,28,37,37,89,41
Depreciation,43,48,41,45,46,48,36,39,41,41,30,238,23
Profit before tax,87,208,126,184,185,187,167,177,164,422,232,675,313
Tax %,52%,33%,27%,46%,42%,24%,23%,20%,17%,22%,24%,13%,20%
Net Profit +,44,141,91,99,108,142,133,143,136,341,166,580,248
EPS in Rs,1.77,4.95,3.19,4.10,3.76,5.24,4.88,5.24,4.96,12.56,6.14,15.70,8.84
Raw PDF,,,,,,,,,,,,,
