,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024
Sales +,120,150,205,213,247
Expenses +,97,122,154,157,194
Operating Profit,22,28,51,56,54
OPM %,19%,18%,25%,26%,22%
Other Income +,1,2,2,9,5
Interest,5,4,8,12,8
Depreciation,1,2,2,2,3
Profit before tax,17,24,43,50,48
Tax %,29%,28%,30%,27%,24%
Net Profit +,12,17,30,36,37
EPS in Rs,4.64,6.54,2.25,2.60,2.09
Raw PDF,,,,,
