,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,248,251,225,200,219,204,214,233,240,220,245,218,251
Expenses +,200,199,187,162,186,179,180,198,205,191,207,192,218
Operating Profit,48,53,38,38,34,25,34,34,34,30,38,26,33
OPM %,19%,21%,17%,19%,15%,12%,16%,15%,14%,13%,15%,12%,13%
Other Income +,1,1,2,-1,1,1,1,-0,1,1,0,0,1
Interest,4,4,4,4,4,5,5,5,4,5,8,8,7
Depreciation,4,4,4,5,5,4,4,5,5,5,6,6,6
Profit before tax,40,46,31,28,26,17,26,24,26,20,25,12,20
Tax %,8%,24%,25%,21%,21%,27%,25%,20%,23%,25%,23%,25%,24%
Net Profit +,37,35,23,22,20,12,19,20,20,15,19,9,15
EPS in Rs,7.29,6.80,4.59,4.33,3.99,2.45,3.84,3.88,3.99,3.00,3.75,1.83,2.99
Raw PDF,,,,,,,,,,,,,
