,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,93,103,115,112,119,122,127,125,131,128,127,133,137
Expenses +,58,61,64,72,75,73,79,79,81,80,79,85,90
Operating Profit,34,42,52,40,45,49,48,45,50,48,49,48,46
OPM %,37%,41%,45%,36%,37%,40%,38%,36%,38%,37%,38%,36%,34%
Other Income +,2,2,2,2,14,3,2,3,-31,3,3,3,2
Interest,1,1,1,1,0,0,0,0,0,1,1,1,1
Depreciation,9,9,9,8,8,8,8,7,7,8,8,6,6
Profit before tax,27,34,44,34,50,44,42,40,12,42,44,44,42
Tax %,26%,27%,25%,25%,27%,26%,25%,23%,98%,26%,26%,26%,28%
Net Profit +,20,25,33,25,36,32,32,31,0,31,32,32,30
EPS in Rs,13.28,16.86,22.18,16.89,24.31,21.51,21.12,20.72,0.13,20.90,21.75,21.68,20.27
Raw PDF,,,,,,,,,,,,,
