,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,826,776,768,839,971,"1,200","1,252","1,390",713,"1,466","1,455"
Expenses +,777,747,728,801,908,"1,177","1,203","1,393",705,"1,408","1,423"
Operating Profit,49,29,40,38,64,23,49,-3,8,58,32
OPM %,6%,4%,5%,4%,7%,2%,4%,-0%,1%,4%,2%
Other Income +,23,23,1,-0,9,5,27,8,10,12,26
Interest,2,4,1,4,4,3,4,3,3,4,8
Depreciation,2,2,3,11,10,9,10,6,8,8,9
Profit before tax,68,46,37,22,59,16,62,-4,6,58,41
Tax %,26%,27%,21%,54%,25%,65%,21%,-137%,87%,8%,49%
Net Profit +,50,33,29,10,44,6,49,2,1,53,21
EPS in Rs,1.06,0.73,0.62,0.22,0.88,0.19,0.92,0.02,0.03,1.04,0.41
Raw PDF,,,,,,,,,,,
