,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,183,164,213,218,202,211,252,284,323,321,356,392,507
Expenses +,176,156,199,203,191,194,231,260,296,294,325,358,475
Operating Profit,7,8,14,15,11,17,21,24,27,27,31,34,32
OPM %,4%,5%,7%,7%,6%,8%,8%,8%,8%,8%,9%,9%,6%
Other Income +,2,3,3,4,7,2,2,2,3,3,2,4,2
Interest,1,1,2,2,2,2,1,1,1,1,2,4,5
Depreciation,2,2,2,2,2,2,2,2,3,3,3,3,4
Profit before tax,5,7,13,14,14,15,20,22,26,26,29,31,25
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,-14%,2%,30%,26%,26%
Net Profit +,5,7,13,14,14,15,19,22,29,25,20,23,19
EPS in Rs,0.25,0.36,0.65,0.74,0.71,0.62,0.82,0.79,0.97,0.83,0.67,0.74,0.61
Raw PDF,,,,,,,,,,,,,
