,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,953,951,"1,164","1,165","1,396","1,285","1,584","1,511","1,856","1,710","1,952","1,664","2,028"
Expenses +,824,923,"1,117","1,020","1,149","1,147","1,483","1,455","1,833","1,653","1,876","1,730","1,796"
Operating Profit,128,28,47,145,247,138,101,56,23,57,76,-66,232
OPM %,13%,3%,4%,12%,18%,11%,6%,4%,1%,3%,4%,-4%,11%
Other Income +,3,101,19,3,"3,354",18,1,27,249,5,19,6,13
Interest,181,189,197,213,29,26,25,24,18,13,13,5,6
Depreciation,14,14,13,14,14,19,18,18,17,16,15,14,17
Profit before tax,-63,-75,-144,-79,"3,557",112,59,41,236,33,67,-79,222
Tax %,826%,1%,22%,22%,1%,17%,32%,18%,23%,18%,-2%,-20%,32%
Net Profit +,-588,-76,-177,-96,"3,517",93,40,34,181,27,68,-63,151
EPS in Rs,-19.20,-2.38,-6.49,-3.62,107.61,1.94,0.78,0.59,3.80,0.55,1.55,-1.30,3.00
Raw PDF,,,,,,,,,,,,,
