,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"4,608","4,639","4,994","5,230","5,729","6,864","6,038","6,549","6,995","6,670","7,445","7,819","6,983"
Interest,"2,175","2,144","2,238","2,304","2,445","2,861","2,966","3,102","3,298","3,428","3,562","3,583","3,683"
Expenses +,"2,463","2,571","2,430","2,563","3,167","3,067","1,701","2,444","2,565","1,553","2,781","2,382","2,415"
Financing Profit,-30,-77,326,363,118,936,"1,372","1,003","1,132","1,688","1,102","1,854",885
Financing Margin %,-1%,-2%,7%,7%,2%,14%,23%,15%,16%,25%,15%,24%,13%
Other Income +,923,"1,190","1,058",923,"1,404",907,"1,025","1,031",961,857,"1,368",810,"2,107"
<<<<<<< HEAD
Depreciation,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
=======
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
>>>>>>> 2ab835425ee6cb8d15e45cf965c5599d483e4895
Profit before tax,893,"1,114","1,384","1,286","1,521","1,843","2,397","2,034","2,093","2,546","2,470","2,664","2,991"
Tax %,18%,31%,45%,27%,21%,33%,42%,27%,21%,32%,25%,28%,31%
Net Profit +,740,773,782,950,"1,223","1,234","1,393","1,515","1,672","1,739","1,869","1,954","2,094"
EPS in Rs,0.68,0.71,0.72,0.88,1.13,1.14,1.29,1.40,1.55,1.61,1.73,1.81,1.94
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
