,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,363,345,360,416,429,462,538,596,642,633,657,684,621
Interest,157,159,145,155,158,185,217,247,252,251,266,268,264
Expenses +,122,463,138,178,132,156,173,192,217,237,323,398,333
Financing Profit,85,-277,77,83,139,121,148,156,173,145,68,19,24
Financing Margin %,23%,-80%,21%,20%,32%,26%,28%,26%,27%,23%,10%,3%,4%
Other Income +,1,1,1,0,0,1,1,1,5,2,1,4,1
Depreciation,4,3,4,4,8,4,6,6,6,6,7,7,8
Profit before tax,82,-280,75,79,132,118,143,151,171,141,62,15,18
Tax %,30%,-25%,23%,26%,25%,25%,25%,25%,25%,25%,27%,5%,-20%
Net Profit +,57,-210,57,59,99,88,107,113,128,105,45,14,22
EPS in Rs,7.58,-27.95,7.23,7.05,11.85,9.93,10.72,10.24,11.61,9.53,4.05,1.29,1.98
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
