,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,195,197,208,235,239,252,252,279,313,345
Expenses +,181,182,191,216,219,232,232,258,290,320
Operating Profit,14,14,17,19,20,20,20,22,23,26
OPM %,7%,7%,8%,8%,8%,8%,8%,8%,7%,7%
Other Income +,0,1,0,1,1,1,1,1,1,2
Interest,4,5,5,5,6,6,6,5,5,6
Depreciation,1,1,2,3,3,3,3,4,4,5
Profit before tax,8,9,10,11,12,12,12,14,15,16
Tax %,23%,36%,28%,27%,28%,26%,27%,28%,31%,29%
Net Profit +,6,6,7,8,9,9,9,10,10,12
EPS in Rs,2.64,2.40,2.95,3.39,3.56,3.58,3.59,3.74,3.83,4.23
Raw PDF,,,,,,,,,,
