,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,113",986,"1,115","1,034","1,334","1,040","1,228","1,274","1,695","1,327","1,554","1,620","1,884"
Expenses +,"1,047",960,"1,039",994,"1,239","1,006","1,163","1,206","1,513","1,279","1,444","1,453","1,646"
Operating Profit,66,26,76,39,95,34,65,68,182,48,110,167,238
OPM %,6%,3%,7%,4%,7%,3%,5%,5%,11%,4%,7%,10%,13%
Other Income +,29,5,0,7,2,3,0,2,4,0,0,52,38
Interest,10,8,7,13,11,11,11,14,11,11,16,12,6
Depreciation,15,21,18,20,21,22,22,23,23,22,23,23,23
Profit before tax,71,2,50,13,65,3,32,34,152,15,71,184,247
Tax %,27%,36%,26%,66%,22%,29%,24%,32%,25%,31%,26%,25%,25%
Net Profit +,52,1,37,5,51,2,25,23,114,10,52,137,184
EPS in Rs,12.19,0.32,8.77,1.08,11.99,0.57,5.84,5.42,26.82,2.46,12.34,32.41,41.26
Raw PDF,,,,,,,,,,,,,
