,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,109.79,94.06,82.57,90.36,126.80,143.12,101.07,137.32,146.65,237.08,138.46,184.10,193.80
Expenses +,100.71,83.52,76.69,82.43,112.87,132.31,91.37,127.21,135.17,216.63,125.12,162.67,182.33
Operating Profit,9.08,10.54,5.88,7.93,13.93,10.81,9.70,10.11,11.48,20.45,13.34,21.43,11.47
OPM %,8.27%,11.21%,7.12%,8.78%,10.99%,7.55%,9.60%,7.36%,7.83%,8.63%,9.63%,11.64%,5.92%
Other Income +,1.40,0.87,1.77,1.60,0.07,1.10,0.72,1.69,1.24,3.68,3.06,2.13,4.45
Interest,1.72,1.98,1.98,2.69,2.47,2.80,2.66,2.62,3.24,3.87,3.35,3.61,3.76
Depreciation,2.43,2.36,1.92,1.99,2.00,2.17,2.19,2.38,2.55,3.25,3.36,3.70,4.14
Profit before tax,6.33,7.07,3.75,4.85,9.53,6.94,5.57,6.80,6.93,17.01,9.69,16.25,8.02
Tax %,32.39%,36.92%,25.33%,38.97%,25.50%,42.94%,36.98%,30.15%,23.23%,28.40%,27.35%,21.42%,40.27%
Net Profit +,4.27,4.44,2.80,2.95,7.09,3.95,3.52,4.75,5.32,12.18,7.05,12.76,4.78
EPS in Rs,0.34,0.37,0.21,0.24,0.60,0.33,0.28,0.37,0.38,0.96,0.54,0.92,0.38
Raw PDF,,,,,,,,,,,,,
