,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,765,698,629,842,695,611,588,729,738,623,588,750,727
Expenses +,636,588,549,724,615,531,527,649,653,545,533,678,648
Operating Profit,129,109,80,118,80,80,61,81,85,77,54,72,79
OPM %,17%,16%,13%,14%,12%,13%,10%,11%,12%,12%,9%,10%,11%
Other Income +,5,13,7,9,13,17,21,18,18,19,21,20,17
Interest,2,2,2,1,2,3,3,3,3,5,4,5,4
Depreciation,11,11,12,12,13,16,15,16,17,17,17,17,17
Profit before tax,121,110,73,114,78,78,64,80,83,75,55,70,75
Tax %,25%,26%,26%,26%,25%,26%,26%,26%,26%,23%,26%,26%,24%
Net Profit +,91,80,53,84,58,58,47,59,62,57,41,52,57
EPS in Rs,6.54,5.77,3.84,6.05,4.15,4.29,3.46,4.28,4.51,4.24,3.01,3.81,4.22
Raw PDF,,,,,,,,,,,,,
